PHRASE,TOTAL,aljazeera,alternet,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailymail,dailywire,economist,federalist,fox,guardian,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,truthdig,usatoday,veteranstoday,vox,wapo,wsj
asylum,485,4,6,1,0,3,1,2,0,4,6,2,20,43,31,1,20,2,17,0,3,1,24,15,2,11,12,45,0,4,18,7,2,0,13,9,0,29,15,2,64,14,0,9,22,0
back doors,63,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,21,0,2,3,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,2,10,0
classified information,776,21,10,5,10,2,10,9,3,9,2,38,37,35,42,7,11,21,18,10,2,3,47,27,6,15,10,21,9,49,29,20,11,16,19,7,0,20,34,14,9,28,2,9,67,2
counterintelligence,417,7,9,3,24,7,11,11,0,0,0,35,28,1,9,0,1,25,0,4,1,8,19,5,1,3,3,1,7,28,15,19,14,6,12,22,0,3,2,2,2,3,2,7,52,5
Courage Foundation,67,0,0,0,0,0,0,0,0,2,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
crimes,490,6,8,5,2,0,2,3,0,9,4,2,5,51,75,6,18,6,16,0,1,1,32,4,5,7,16,21,2,9,6,5,5,1,5,12,0,16,3,0,69,12,5,6,27,0
cyber security,107,0,0,0,0,0,4,0,0,1,0,3,6,0,10,2,0,1,9,0,15,0,5,3,1,0,2,1,2,3,1,1,0,0,5,1,6,7,0,0,0,3,9,0,5,0
extradition,1357,32,15,34,3,4,22,13,6,4,28,7,29,100,160,22,41,8,137,0,11,0,55,56,5,23,19,32,0,60,20,25,7,1,44,6,0,64,34,5,81,59,3,19,59,0
foreign intelligence,277,7,2,1,11,4,6,2,0,0,1,7,10,2,4,2,4,3,4,3,2,8,23,9,1,4,5,10,5,13,10,6,10,2,6,8,3,5,0,23,4,5,10,1,26,4
hack,519,14,5,5,9,5,6,1,9,17,2,8,7,15,28,7,2,7,25,0,3,1,19,13,0,23,5,12,2,21,17,20,5,0,4,6,3,14,8,9,33,7,20,3,75,5
hackers,697,33,0,20,5,1,17,18,13,6,0,25,19,11,11,1,4,7,31,0,16,1,32,9,4,11,3,16,1,26,18,38,9,11,9,3,2,12,10,1,16,16,9,9,169,10
hacking,968,47,6,15,5,11,8,13,7,24,3,14,19,25,33,18,12,12,53,0,16,2,32,26,2,33,10,25,13,39,36,34,11,1,18,14,4,20,19,7,26,23,1,4,208,12
indictment,1294,42,8,29,3,1,10,19,20,26,16,41,53,80,102,4,18,19,29,0,2,1,27,28,12,27,29,21,18,28,66,36,24,6,20,28,0,34,42,36,43,48,2,23,139,32
investigation,1459,26,14,3,8,7,16,33,10,9,10,19,49,27,46,16,24,84,30,8,6,21,166,69,7,42,29,48,24,67,57,50,13,34,36,52,0,20,29,7,28,28,33,15,133,3
Julian Assange,1064,28,12,23,1,0,6,14,6,11,23,4,17,64,117,11,24,7,101,0,0,1,33,32,12,16,28,75,2,27,48,14,5,2,26,7,3,64,46,7,79,32,0,11,22,0
Main Core,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
military documents,46,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,1,0,0,4,0,0,0,2,0,4,4,0
military intelligence,296,2,1,1,5,0,6,2,0,3,0,3,5,4,2,2,3,2,6,0,0,0,12,12,0,8,44,85,0,10,6,1,9,1,2,2,0,8,1,3,4,5,18,0,16,2
national security,1431,30,13,8,11,4,31,9,3,13,0,44,59,28,32,28,36,47,72,8,12,10,108,62,9,20,24,26,17,71,97,31,22,11,40,16,6,30,15,30,34,31,10,27,180,5
Paul Whelan,415,18,2,0,4,0,71,0,4,4,0,43,29,0,0,0,0,8,8,0,0,0,18,25,0,0,2,0,3,22,39,12,1,0,17,2,0,20,0,2,1,43,0,4,7,6
political operative,23,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
public interest,152,5,2,1,0,0,0,3,0,1,8,2,2,26,6,18,18,0,7,0,1,0,2,6,0,3,5,3,0,2,3,0,0,0,2,1,0,2,4,6,0,3,0,2,8,0
sanctions,543,21,2,3,0,5,25,7,7,1,0,19,25,1,4,6,2,20,32,0,16,2,31,51,2,16,2,1,4,24,26,18,3,4,11,27,0,14,1,0,1,9,4,5,70,16
spy,2819,60,34,5,40,13,83,60,19,21,6,100,128,28,51,23,5,94,98,46,34,41,178,188,33,54,72,48,17,133,160,68,63,20,75,45,8,156,5,15,37,82,21,40,262,34
surveillance,1497,29,17,9,30,10,19,10,13,53,12,22,30,36,80,32,22,51,37,2,12,21,124,70,10,66,35,78,8,60,72,27,11,9,11,47,3,80,13,11,56,7,5,10,122,14
technology,1629,27,6,20,4,3,36,22,11,51,0,54,72,14,4,36,9,27,64,2,48,2,74,137,10,35,31,59,7,47,76,37,35,6,27,22,12,44,1,4,19,38,21,56,277,27
the Espionage Act,670,9,11,3,5,2,1,2,6,13,11,8,12,55,53,10,14,2,21,0,2,0,14,15,12,39,15,33,0,44,13,7,6,0,7,5,0,31,83,14,36,12,0,6,35,1
the NSA,591,5,0,2,21,0,1,0,0,0,1,1,1,1,11,5,1,1,2,0,7,3,25,12,3,131,34,43,1,38,31,2,0,0,0,10,0,17,8,3,50,0,1,0,106,4
dossier,352,0,0,0,4,0,1,0,0,0,0,0,0,0,13,0,1,94,3,0,0,4,42,3,14,0,4,0,43,13,8,11,8,21,0,39,0,0,0,3,0,0,3,1,15,4
