PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,mintpress,motherjones,nationalreview,nbc,npr,nypost,nytimes,opednews,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,truthdig,usatoday,vice,vox,wapo,wsj
anti Muslim,1461,122,13,5,2,5,14,2,7,84,19,5,47,74,28,31,10,17,6,18,1,33,229,46,3,7,71,31,26,22,51,29,9,16,3,95,25,8,0,26,13,10,23,22,8,25,114,1
bigotry,375,26,8,2,1,0,12,0,1,10,7,1,18,30,5,6,9,8,3,2,10,17,53,6,0,4,12,5,6,5,5,8,1,2,0,13,15,2,0,2,3,9,3,10,1,11,23,0
blasphemy,456,35,1,9,8,13,4,5,26,0,6,5,32,0,32,0,16,0,2,2,10,4,79,1,0,8,0,0,0,23,0,20,1,13,1,19,7,3,0,9,0,18,0,8,0,1,33,0
caliph,170,8,0,0,7,0,40,0,7,1,0,0,0,1,14,2,0,0,2,7,0,0,6,0,0,0,0,0,0,1,0,0,2,8,0,30,10,0,0,0,0,3,0,1,0,1,19,0
citizenship law,327,65,0,2,0,4,0,11,3,3,2,9,27,5,0,2,0,0,0,4,0,8,38,0,0,0,4,3,0,0,7,17,5,4,0,1,6,0,4,19,0,0,4,2,4,5,57,2
discrimination,637,72,2,16,3,4,23,3,7,5,3,5,32,11,47,2,8,11,19,5,2,19,96,11,0,3,19,0,5,14,12,13,11,7,3,32,7,4,0,13,1,20,6,17,1,10,31,0
extremism,848,49,5,10,3,2,18,7,26,5,13,3,22,13,58,5,29,2,5,50,10,47,137,2,1,6,20,12,5,28,28,13,10,7,3,31,15,11,0,15,2,18,2,8,2,7,76,1
extremist,847,37,8,6,1,5,10,4,46,5,1,5,31,17,30,8,28,3,6,26,6,49,113,7,13,7,17,36,4,25,24,13,18,8,2,41,23,13,1,4,1,17,6,16,1,3,95,6
free speech,174,0,2,1,10,1,2,0,7,4,4,0,4,4,5,0,5,0,1,4,1,5,28,0,0,28,0,0,0,13,4,2,0,0,4,16,2,1,0,5,1,2,1,0,0,1,4,0
freedom of expression,64,1,0,1,0,1,0,0,2,0,0,0,0,1,2,1,3,0,0,0,9,1,4,0,0,2,1,0,0,2,0,1,0,0,2,5,1,1,0,2,0,5,1,0,0,0,4,0
hate crimes,280,38,5,0,0,0,0,0,0,0,7,0,19,8,15,3,2,4,0,4,0,8,43,7,1,1,6,2,7,3,7,10,2,1,3,7,14,1,0,2,5,4,2,12,0,5,22,0
hate groups,87,5,0,0,0,0,1,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0,3,5,0,0,0,0,8,0,2,1,1,0,0,45,0,2,0,0,1,0,2,2,0,0,2,0
holy month,344,67,0,0,0,0,2,5,11,1,1,7,79,1,7,1,2,1,33,5,0,9,13,1,7,3,2,2,1,0,3,12,2,10,0,1,5,0,5,5,2,1,1,5,2,6,21,2
ideology,772,46,6,9,7,4,20,2,25,3,5,2,20,21,43,22,21,2,1,16,4,45,64,4,0,10,11,24,2,20,17,24,5,13,1,59,17,4,1,11,3,65,1,6,5,4,69,1
Islamophobia in the,82,7,0,0,0,0,1,2,2,0,11,0,0,0,6,1,0,0,2,0,0,0,34,0,0,0,1,3,0,0,0,1,1,0,0,6,0,0,0,2,1,0,0,0,1,0,0,0
migrant,208,13,1,2,10,1,4,1,25,4,0,0,7,3,8,1,5,0,1,6,0,0,9,1,6,35,0,2,0,4,4,4,1,1,1,31,2,1,0,5,1,0,0,0,0,1,7,0
militants,641,1,0,2,1,54,3,14,15,1,0,3,18,4,10,0,15,0,22,4,3,71,63,6,2,5,4,4,0,6,31,12,16,30,0,4,8,3,5,9,1,3,6,7,10,1,152,7
mosque,4709,542,18,20,10,54,18,62,368,84,21,43,321,14,145,41,67,11,234,89,11,185,485,56,49,59,35,92,12,27,169,201,88,111,10,151,92,8,17,130,37,40,21,64,16,27,290,37
Muslim ban,174,11,1,0,0,2,4,0,10,2,0,4,0,12,3,1,3,12,1,1,0,6,9,1,0,9,9,6,4,4,5,4,3,5,1,11,4,2,0,0,0,1,4,5,0,5,9,0
nationalism,380,25,10,12,4,2,8,2,4,8,3,0,26,15,31,21,5,0,0,13,2,5,17,1,1,1,6,8,4,10,8,18,2,11,0,8,6,1,1,2,3,7,0,1,1,4,63,0
nationalist,728,92,6,8,4,7,3,6,23,9,7,3,27,15,27,33,3,1,2,43,0,12,68,5,0,2,9,18,2,10,27,48,9,21,0,6,14,0,2,11,6,6,8,4,21,16,77,6
non Muslim,470,35,7,16,16,2,7,11,11,2,0,2,18,5,33,3,2,0,3,7,0,19,28,8,1,7,4,3,0,4,3,10,6,5,0,85,7,4,0,10,3,24,1,5,4,7,39,3
peace,848,69,15,4,15,11,10,15,32,3,3,7,68,4,24,10,16,1,6,15,21,45,76,6,0,10,5,8,1,8,20,26,21,10,5,84,13,13,2,18,2,16,5,14,3,10,67,2
prayer,1576,193,4,4,4,8,8,16,112,34,8,3,109,6,91,2,25,6,109,33,2,52,115,15,30,40,15,6,2,2,37,75,21,38,1,95,21,14,5,26,19,10,2,32,4,28,79,10
refugees,533,40,0,1,24,10,9,3,7,7,1,5,10,22,37,5,4,1,1,13,4,10,61,7,0,14,7,6,0,17,6,32,3,14,1,35,7,1,0,14,4,7,1,4,0,5,68,1
religious freedom,423,28,2,15,4,2,15,0,12,0,0,2,24,11,3,4,17,13,2,9,8,28,20,2,1,0,7,1,0,8,3,22,15,4,0,22,16,4,0,7,1,36,1,7,5,7,35,0
religious minorities,385,32,1,19,3,2,16,2,14,1,1,2,25,4,17,3,6,0,1,2,3,17,21,4,0,1,0,1,1,26,8,10,6,6,1,11,4,0,1,19,1,36,4,3,3,7,34,4
religious violence,52,7,0,1,0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,1,0,2,8,1,0,1,0,0,0,2,3,1,0,0,9,0
terror attacks,299,8,2,2,1,0,0,1,6,2,1,0,167,0,8,0,4,0,1,0,1,9,12,2,0,8,5,3,0,0,3,3,5,0,0,22,4,1,0,0,2,5,0,3,3,0,5,0
terrorism,1823,110,5,6,17,12,36,7,76,6,17,5,123,56,81,26,33,13,34,45,17,107,168,14,16,15,57,26,6,21,56,23,21,31,6,153,33,5,0,41,6,53,20,22,5,8,171,4
terrorist,1854,90,6,10,20,6,14,4,90,11,10,15,96,27,79,23,74,16,26,38,22,100,192,12,15,34,42,21,5,32,62,26,37,36,3,138,29,16,0,37,12,54,9,34,5,16,198,3
travel ban,262,8,0,0,6,10,6,0,2,3,0,2,14,2,11,1,9,18,2,0,0,16,26,8,0,3,1,2,8,4,6,5,3,2,0,11,3,1,0,0,8,0,2,25,0,3,31,0
worship,952,84,7,12,2,3,9,9,88,5,4,9,45,8,52,14,20,4,28,40,2,32,87,9,7,4,5,5,1,26,29,40,17,14,1,29,24,3,11,11,4,20,7,24,5,20,67,3
worshippers,647,138,2,3,0,27,2,4,44,5,9,4,12,3,7,3,0,3,70,27,2,27,77,7,4,9,0,4,3,1,29,30,11,0,2,17,19,1,7,14,4,3,1,3,0,2,1,0
beheaded,77,1,0,0,4,3,1,2,2,1,0,0,0,0,2,0,4,0,0,3,1,3,1,1,0,2,0,0,0,1,1,1,1,0,2,14,1,0,0,1,0,0,0,1,1,0,4,1
genocide,204,14,0,0,5,3,5,0,18,1,0,0,6,11,3,10,1,0,3,3,1,6,9,3,0,2,18,2,0,0,5,1,4,4,0,24,0,13,0,0,1,9,1,1,0,4,13,0
jihad,864,17,0,6,28,4,4,6,18,2,1,0,36,5,17,5,11,1,1,17,8,26,25,4,0,14,4,5,1,13,5,11,6,17,0,481,2,0,0,6,1,19,1,4,0,7,25,0
pilgrimage,539,62,0,0,4,29,3,14,53,2,0,4,49,0,68,4,1,0,16,14,0,13,7,0,21,2,0,4,0,1,6,16,13,8,0,2,54,0,0,6,3,1,0,4,0,9,23,20
