PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj
annexation,4764,685,30,42,3,94,60,7,37,394,34,6,61,18,6,116,342,112,63,179,11,22,16,1,5,85,7,0,53,92,5,35,273,1,68,11,68,67,20,33,118,10,29,144,6,5,107,42,74,0,6,15,9,20,0,0,101,5,20,90,0,45,0,49,2,17,29,0,9,1,42,34,0,3,1,86,474,9
anti Israel,2089,23,18,9,22,1,7,13,3,170,3,10,4,25,1,47,27,2,4,17,218,3,20,35,0,11,89,0,0,282,95,4,31,12,10,15,13,11,0,3,24,6,59,41,1,4,24,91,40,6,0,1,2,86,0,0,46,56,3,29,3,5,0,1,1,77,4,0,0,2,19,30,0,3,0,15,148,4
anti Semitic,8665,168,78,26,33,17,38,95,1,189,2,116,32,108,2,395,162,63,25,131,618,112,126,88,1,41,219,1,0,911,78,11,19,50,6,34,126,18,1,19,103,23,279,418,4,5,172,392,194,15,3,2,4,248,0,1,310,288,0,178,16,72,2,3,1,178,18,0,3,35,101,265,0,12,1,241,902,16
anti Semitism,9672,259,64,22,43,8,28,131,1,179,0,127,52,87,0,493,223,150,23,211,528,65,106,51,0,63,307,3,0,1078,57,24,22,36,6,21,115,10,0,30,145,12,382,438,6,9,229,421,275,18,7,3,2,283,0,0,287,219,2,225,20,56,4,3,12,275,13,0,0,16,110,205,0,12,1,301,1038,20
genocide,1764,56,15,13,11,12,6,10,2,34,0,17,18,3,0,56,52,48,76,116,15,13,21,9,5,19,27,0,1,75,11,121,83,4,23,9,62,23,0,64,63,1,24,29,2,0,14,39,23,2,6,9,0,23,0,0,34,26,0,27,2,27,0,2,12,28,14,0,2,3,37,13,0,0,37,25,109,1
Benjamin Netanyahu,7487,534,48,39,6,29,160,28,59,276,12,30,38,97,19,348,216,65,45,114,114,54,173,13,6,4,15,2,6,445,17,44,420,33,87,61,89,53,9,72,217,5,103,350,18,13,295,229,284,6,3,31,21,38,2,0,303,50,26,384,2,49,2,4,3,56,52,0,2,0,106,127,1,12,13,118,551,131
peace,19203,1144,169,122,62,83,270,115,123,543,14,38,104,233,34,1287,762,226,187,538,195,73,255,129,49,207,85,2,57,1187,116,396,952,101,273,53,172,193,18,373,435,26,296,660,91,49,531,361,636,11,15,119,81,201,1,6,635,134,27,386,9,119,9,7,11,216,157,0,11,8,294,283,0,21,70,367,1869,111
reparations,782,6,22,3,4,1,0,3,0,10,0,4,0,1,0,26,12,1,46,25,8,6,0,2,0,23,15,4,2,22,1,0,17,2,6,1,14,3,0,4,8,0,18,4,4,0,1,8,27,1,2,2,1,4,0,0,22,2,0,8,0,20,0,58,2,13,4,0,0,3,6,35,0,0,1,136,98,0
sanctions,13048,915,126,203,10,148,154,78,41,238,26,26,56,226,39,552,584,319,58,458,91,65,169,18,26,214,90,0,40,833,85,284,521,46,141,64,241,135,1,308,456,39,264,396,141,20,235,194,282,6,20,42,40,119,2,3,302,87,10,286,10,64,5,4,20,115,281,0,3,3,242,193,0,9,8,184,1289,45
settlements,6261,715,29,23,9,42,90,10,28,144,16,19,78,64,3,214,377,94,93,153,33,8,53,13,2,61,15,0,5,308,2,116,270,22,306,7,102,105,12,45,205,9,51,250,10,10,193,84,184,7,2,26,20,37,0,1,161,25,28,220,2,39,0,18,10,50,23,0,6,1,135,100,0,15,0,126,483,44
solidarity,2320,132,26,10,4,11,7,7,1,42,8,16,109,8,3,105,139,42,27,162,29,23,58,4,2,5,19,0,8,57,10,37,145,9,203,2,36,135,0,19,119,1,40,27,8,4,14,22,18,0,2,3,1,10,0,3,27,32,1,20,4,10,0,18,32,9,7,0,0,0,16,29,0,7,8,44,121,3
sovereignty,3653,323,21,36,29,24,18,23,15,193,1,6,17,39,1,126,139,37,41,110,31,6,62,6,11,31,22,0,18,161,22,112,137,5,17,15,33,51,34,48,131,2,79,161,25,9,81,56,87,1,10,10,5,64,0,0,99,18,9,168,0,44,0,5,3,77,46,0,1,15,49,42,0,1,3,46,267,18
terrorist,8685,259,53,76,36,28,29,22,3,300,3,38,49,131,7,586,173,94,84,210,332,43,213,40,11,51,135,0,9,667,49,605,243,20,29,46,137,58,12,147,357,19,146,279,101,10,130,159,120,14,32,19,8,199,15,2,145,220,3,202,4,33,2,3,3,131,98,1,1,4,141,125,4,4,11,117,767,28
the Middle East,12768,710,115,152,32,46,107,80,31,212,17,46,41,179,32,677,457,237,132,478,154,59,445,52,75,119,131,1,35,701,66,531,419,46,154,89,172,100,5,310,359,22,297,378,106,37,254,164,380,20,31,54,35,218,0,5,328,112,11,235,6,67,3,1,11,149,240,4,2,2,249,179,0,8,32,222,1048,54
the Palestinian,9597,1397,49,18,23,78,96,28,28,358,13,45,138,70,1,473,517,218,66,402,134,15,80,11,1,44,66,1,7,466,30,174,489,29,83,24,126,150,11,44,448,6,89,275,22,14,250,182,261,1,4,53,22,115,0,0,190,89,25,262,1,34,1,19,34,100,28,0,4,3,142,58,0,8,5,107,710,32
violence,11662,540,163,60,38,39,88,97,1,187,15,78,89,135,1,589,550,117,200,553,196,109,171,32,24,93,104,0,12,671,15,174,626,73,108,40,327,140,6,211,370,19,179,402,21,3,222,251,238,14,16,29,15,146,1,2,331,174,6,184,23,62,1,67,21,101,42,8,14,7,311,210,2,21,15,271,1175,16
war,42451,1658,586,857,65,411,232,310,28,387,76,155,239,403,10,1608,2391,966,309,2418,171,284,1852,34,79,468,172,8,135,1561,27,2604,1841,114,284,291,1125,881,5,1676,1743,109,511,1227,409,46,512,390,1013,58,165,242,39,440,6,10,874,151,48,559,108,149,2,42,32,392,940,7,19,14,1254,414,3,24,46,780,2902,50
colonial,1466,194,20,4,0,21,1,5,1,20,0,1,30,2,0,34,71,58,45,192,4,3,9,10,1,10,4,0,3,17,0,49,80,3,11,2,34,77,0,21,77,2,20,6,5,0,7,2,17,1,7,15,0,10,0,0,16,2,1,9,0,1,0,27,9,26,22,0,1,0,55,6,0,2,10,10,63,0
conflict,12293,914,93,161,15,58,123,143,25,201,36,36,68,102,3,573,399,204,229,272,117,32,1146,15,19,107,53,2,30,533,10,280,606,42,142,89,211,94,5,202,405,29,185,342,112,18,244,145,370,10,26,59,31,127,6,1,284,48,22,212,2,63,2,15,12,137,178,1,8,2,182,158,0,12,25,302,1085,43
the IDF,894,13,2,9,1,2,2,4,2,40,6,1,2,1,0,58,17,11,10,15,15,0,2,3,0,0,9,0,0,37,1,18,13,1,0,23,20,26,16,8,75,0,2,8,1,0,7,31,37,0,0,25,0,12,0,0,3,7,0,227,0,0,0,0,0,12,4,1,0,0,10,0,0,6,0,18,20,0
