PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo
annexation,1819,246,25,5,0,0,76,5,0,13,65,1,55,2,28,196,46,36,116,1,13,6,24,0,34,21,124,0,8,5,43,49,13,98,11,61,4,16,9,17,4,2,5,29,1,38,0,30,2,6,11,11,2,12,2,46,135
anti Israel,584,6,2,2,12,10,1,2,1,0,74,3,4,1,0,17,0,3,3,78,0,4,0,26,84,3,11,1,0,5,10,7,1,17,13,7,0,7,15,6,1,1,37,4,18,11,1,0,1,27,1,13,1,9,1,3,18
anti Palestinian,109,7,0,0,0,0,1,0,0,0,1,2,1,0,5,19,6,0,3,0,0,0,0,0,1,3,3,1,0,0,2,16,0,9,0,0,1,0,0,0,18,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,3
Apartheid Israel,104,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,0,94,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Arab countries,264,51,0,0,3,1,0,5,0,0,1,0,5,1,15,3,5,3,14,0,0,2,0,1,7,8,15,1,0,1,0,3,1,18,3,11,0,2,1,3,10,4,3,8,1,10,0,0,0,3,1,7,0,3,0,4,15
Arab League,161,34,2,0,1,2,0,2,0,1,1,0,2,0,2,6,6,2,7,4,0,6,0,0,6,4,4,0,0,6,1,0,2,7,0,1,0,0,2,3,3,0,1,3,0,20,0,0,0,3,2,1,0,1,0,3,1
BDS movement,744,79,6,2,3,3,1,2,0,0,7,5,35,2,3,70,11,0,25,69,2,1,1,25,56,10,27,6,0,1,26,15,1,48,14,9,4,3,4,1,1,0,30,9,21,10,2,3,9,8,0,31,8,3,1,10,21
boycott,1391,107,11,12,3,1,4,19,1,0,13,6,50,7,35,132,21,5,72,24,5,4,4,55,55,15,42,6,0,1,107,40,2,142,5,27,1,21,9,21,0,0,9,31,17,36,4,10,19,12,1,28,53,12,1,16,54
coalition,896,98,5,2,1,1,17,1,0,11,5,0,13,2,25,77,8,14,49,8,7,25,14,0,25,17,47,4,1,4,24,23,6,107,5,19,2,8,2,11,3,1,2,18,9,14,3,4,6,30,9,20,5,14,10,15,45
diplomatic,886,89,4,3,13,1,4,7,2,2,7,1,6,1,29,42,31,10,45,0,8,18,10,6,22,27,70,2,1,1,8,26,8,76,2,25,2,16,5,10,19,5,1,12,2,30,0,13,4,14,6,7,13,28,1,14,65
factions,311,59,1,0,0,0,5,1,0,0,6,0,1,0,8,17,10,2,29,4,5,4,0,0,5,9,12,1,0,2,3,5,1,55,0,2,3,2,2,2,0,1,5,2,0,8,0,2,0,1,0,3,0,5,2,4,12
fascism,179,12,1,1,1,0,0,0,0,0,3,0,14,0,1,11,4,2,21,1,2,0,0,0,5,2,13,0,0,0,5,13,2,14,0,0,0,1,0,0,16,0,1,0,0,0,0,0,3,3,8,6,1,2,0,5,5
Israel lobby,455,15,7,3,0,0,7,1,0,0,0,0,15,0,0,80,27,0,22,4,1,1,0,0,9,8,19,1,0,1,12,14,6,77,2,3,0,8,0,1,11,0,0,3,0,6,0,3,7,0,3,66,1,4,0,5,2
Jewish state,951,46,6,5,5,2,11,4,2,2,27,5,9,4,13,36,22,13,51,29,2,4,4,38,76,22,35,1,0,2,24,30,11,30,31,9,0,25,29,36,6,0,30,17,15,17,1,3,2,35,9,14,2,13,1,16,69
Joint List,183,40,0,0,3,0,20,0,0,0,5,0,1,0,18,12,0,1,8,0,0,0,0,0,2,2,6,0,0,0,4,20,0,28,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,2,1
occupation,3347,453,27,5,2,2,43,8,6,9,43,10,121,9,44,382,115,34,276,38,14,11,10,11,35,122,127,25,8,2,199,154,25,297,18,29,12,12,15,26,28,6,14,33,22,87,6,10,32,16,17,96,11,47,8,32,92
Palestinian state,1068,123,7,0,3,4,4,20,0,10,47,0,11,4,40,66,18,6,29,12,1,17,7,6,44,18,82,5,0,9,9,19,8,29,8,58,3,32,7,25,6,6,14,21,5,42,0,8,1,11,3,31,5,5,0,25,93
peace plan,916,96,15,3,2,1,5,11,0,4,19,3,3,3,33,58,16,5,12,5,1,36,3,0,71,16,52,3,0,9,4,8,5,31,4,45,0,18,9,10,1,0,5,27,2,79,0,11,0,4,5,21,14,2,3,40,82
pro Israel,1123,44,6,4,4,3,6,5,6,0,14,2,22,0,8,102,22,7,45,29,2,5,3,14,34,20,48,2,0,2,83,82,11,177,6,10,0,12,10,9,4,0,10,11,6,11,2,13,24,2,12,45,30,15,1,31,40
sanctions,1445,105,22,9,2,0,22,7,3,3,23,0,16,28,25,113,26,9,110,2,3,5,17,21,35,75,62,5,1,3,52,50,28,175,11,9,16,18,9,8,9,3,11,8,5,55,2,5,18,4,18,50,7,45,0,6,71
siege,459,60,5,0,1,0,5,0,0,0,1,1,24,0,11,61,6,4,63,0,1,22,0,0,2,8,38,2,1,0,17,11,1,54,1,2,0,1,1,0,2,0,6,0,0,4,1,4,22,0,2,6,0,2,0,0,6
solidarity,913,68,10,0,0,3,14,1,1,1,10,4,87,1,9,103,13,8,95,14,3,4,0,5,2,20,55,2,18,1,18,79,3,100,6,1,4,2,2,2,4,9,4,5,12,8,8,6,21,4,0,8,3,14,3,3,32
sovereignty,1078,107,6,1,6,5,7,4,3,9,32,4,11,9,16,53,15,19,55,2,1,29,4,1,39,30,46,0,0,6,7,45,14,90,14,53,6,23,6,18,6,6,10,21,2,46,0,11,2,18,11,15,6,14,1,21,84
State of Israel,511,120,5,0,0,13,1,3,0,5,14,3,9,3,7,19,5,1,20,10,3,1,0,3,9,21,4,2,0,1,10,20,4,49,8,19,4,5,3,17,4,0,7,8,2,14,0,3,6,5,3,2,1,2,1,8,24
statehood,359,31,1,2,0,0,4,6,1,3,14,0,2,1,6,21,14,2,15,2,0,7,2,6,15,8,35,0,0,3,7,17,0,4,2,6,0,5,3,6,2,1,2,9,1,10,0,5,3,8,0,4,1,3,3,7,39
terrorism,1476,77,26,5,13,5,3,5,3,2,35,2,17,4,73,58,31,14,95,22,23,11,0,19,53,131,70,10,3,5,71,22,23,137,11,30,10,7,11,8,3,6,33,26,18,22,3,2,2,35,10,32,15,33,0,3,87
the PFLP,66,5,0,0,0,8,0,0,0,0,23,0,7,0,0,0,1,0,0,13,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1
two state solution,1214,91,5,7,2,1,3,11,2,4,15,1,17,15,39,94,19,15,32,27,5,10,10,6,68,17,116,9,2,4,15,29,9,74,9,40,0,22,15,37,5,5,12,26,1,54,6,21,10,11,2,27,11,5,3,24,89
Palestinian Authority,996,156,1,0,14,12,10,7,0,4,55,6,4,3,49,53,31,2,38,26,0,6,3,14,43,26,46,2,0,7,17,9,4,59,5,30,0,10,9,7,5,1,16,6,11,35,0,6,4,13,3,3,4,3,2,9,100
Palestine Liberation Organization,340,55,2,0,1,1,1,2,2,0,12,0,0,1,22,14,8,0,19,5,1,0,0,0,24,1,3,2,0,0,5,3,2,16,1,6,0,4,5,13,2,3,3,6,0,10,0,2,0,2,2,5,1,0,0,6,58
colonial,856,155,2,1,1,1,16,0,0,3,17,0,14,0,11,50,38,21,129,1,1,6,0,0,8,23,31,2,1,2,26,58,13,58,12,6,0,1,0,8,7,0,5,4,0,6,0,0,9,10,20,33,1,14,0,1,30
