PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,factcheck,federalist,fivethirtyeight,fox,freebeacon,globalresearch,grayzone,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newsbud,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,reveal,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,voltairenetwork,vox,wapo,wsj
Donald Trump,70068,1498,2672,366,96,53,746,441,18,1127,335,658,61,1216,142,5073,1150,337,265,896,2316,3032,1564,221,453,29,377,48,4229,31,262,35,3073,795,298,486,773,106,20,525,281,543,24,1031,4908,253,0,83,1088,525,1190,159,100,144,10,646,39,7,8479,1438,262,26,1431,10,9,31,697,59,6,9,453,404,5,45,46,787,3402,14,503,110,42,1592,3182,172
Hunter Biden,5742,42,183,8,10,0,43,11,21,130,2,59,0,126,11,438,21,23,5,18,127,90,94,208,19,15,44,4,748,8,5,13,74,0,6,10,58,0,0,26,1,16,1,166,329,3,0,21,160,90,226,0,4,10,0,89,0,0,191,236,0,0,9,0,0,2,40,63,0,1,54,25,7,1,4,42,223,1,15,22,0,127,843,20
Robert Mueller,14862,103,339,33,6,4,59,131,11,157,25,171,9,276,13,1070,162,60,41,48,642,467,76,15,44,1,163,46,1557,1,20,8,582,203,11,142,104,3,0,108,36,165,0,321,920,14,1,11,859,518,223,29,14,4,0,160,0,0,1659,511,7,0,177,0,0,3,239,3,0,0,104,32,0,10,23,84,839,1,6,32,0,500,344,102
Michael Flynn,7407,48,188,15,29,1,54,54,16,102,20,66,2,157,24,395,50,26,9,16,344,211,124,20,10,2,169,13,984,0,7,2,200,64,14,78,31,4,0,31,6,76,3,185,400,3,1,10,197,202,174,6,2,2,0,138,0,0,504,354,2,2,44,0,0,4,110,8,0,0,53,7,1,9,47,34,246,0,32,15,3,219,712,16
dossier,15865,15,95,40,30,1,55,73,3,478,8,71,20,115,3,531,26,107,2,9,3180,108,96,30,7,0,495,4,2857,0,13,6,180,50,13,192,52,16,0,100,6,44,0,896,339,2,0,5,253,407,126,17,16,2,0,402,0,0,460,1400,1,0,146,0,0,1,82,0,0,0,177,78,4,0,53,26,129,0,135,4,0,286,1246,41
collusion,25644,135,323,87,80,19,26,147,5,433,7,164,23,297,2,1221,188,143,37,134,1600,534,79,104,22,3,666,39,3920,1,35,13,562,227,8,485,101,28,0,242,75,166,0,993,1155,11,0,2,671,845,385,30,37,19,0,768,0,0,1736,1455,10,3,526,0,0,2,244,1,0,1,445,86,0,13,121,112,646,0,16,14,0,800,2013,103
probe,28167,380,537,29,26,1,235,167,47,369,62,222,6,619,46,2052,232,47,40,28,1256,477,394,58,59,2,253,81,3635,4,16,2,111,342,29,248,68,9,0,109,48,239,2,629,2131,4,0,11,569,1311,60,16,6,2,3,291,2,1,1866,697,16,1,624,5,6,1,197,27,0,0,103,30,1,33,33,226,1021,7,9,33,2,1026,4338,242
conspiracy,27590,215,1192,112,23,8,61,335,37,217,86,375,32,285,18,1390,226,166,210,205,811,929,297,57,91,34,339,8,1750,2,157,37,963,110,87,226,210,95,0,396,72,390,7,524,2140,53,0,29,701,369,543,33,59,63,1,254,15,30,2512,693,14,23,461,1,30,17,396,34,3,1,211,103,19,6,22,238,743,30,280,145,1,1311,3176,45
misinformation,4623,96,75,9,4,1,89,25,37,100,34,145,9,121,32,335,28,10,85,17,142,72,95,20,20,11,20,13,186,0,10,0,204,21,29,24,14,4,0,19,24,50,2,44,168,7,1,10,102,53,105,12,9,9,0,22,21,11,211,61,7,1,60,2,27,3,48,47,0,0,21,17,45,3,1,28,133,83,66,14,2,179,738,20
disinformation,10666,103,308,9,24,15,74,129,71,157,94,136,45,220,39,450,83,108,180,55,358,196,171,126,59,0,89,7,382,21,97,38,426,24,25,66,36,11,0,131,101,195,0,142,425,41,0,7,367,119,308,62,64,34,1,131,16,3,522,198,12,0,241,12,19,7,118,54,1,0,51,67,86,10,13,47,228,28,78,43,4,174,2025,49
gag,819,6,28,1,1,0,1,3,1,6,0,32,1,18,2,64,5,0,3,9,28,18,15,1,0,0,3,0,47,0,1,0,46,8,3,10,1,0,0,3,9,5,0,14,43,0,1,4,44,14,8,0,1,0,0,7,0,0,49,14,2,0,6,0,0,1,4,0,0,0,5,3,0,1,0,25,47,0,8,1,0,28,106,4
interference,29785,417,668,61,15,18,254,339,80,335,121,400,72,802,61,2154,325,178,140,238,524,708,234,51,100,24,168,102,1514,15,111,17,958,275,84,161,119,30,0,187,91,271,8,340,2018,89,0,11,1425,430,833,31,32,48,0,200,16,0,1837,561,19,8,334,2,2,14,328,34,4,2,163,151,30,31,11,242,1671,16,58,41,5,903,5184,231
misleading,4885,37,114,23,5,10,17,38,7,35,16,47,10,42,0,332,46,158,37,58,163,77,89,14,7,39,61,9,312,0,38,4,187,38,13,28,34,14,0,45,22,51,1,120,238,11,1,4,102,71,132,4,10,9,0,47,10,0,256,91,9,2,58,2,9,4,67,10,0,1,26,16,14,3,4,25,161,16,8,8,0,151,891,16
obstruction,20736,230,478,70,0,2,54,153,11,134,28,173,5,392,6,1781,250,23,71,81,446,546,111,1,65,1,173,122,2194,0,39,0,479,86,10,77,88,6,0,99,6,171,0,531,1458,5,0,3,842,398,622,12,11,4,0,226,0,0,1567,508,0,0,126,0,0,3,483,2,0,0,185,18,0,22,2,152,1149,0,1,19,0,1032,2613,80
national security,32487,348,734,296,26,52,222,330,61,357,140,227,36,1079,68,2554,534,291,131,431,592,597,353,76,219,6,247,38,2301,26,224,77,1021,188,327,165,333,97,8,396,221,207,9,672,2043,48,1,30,1203,480,804,54,18,56,7,279,13,2,1702,481,20,6,304,1,9,28,394,25,0,6,196,154,16,23,36,385,1117,21,180,43,10,580,5258,137
Deep State,2350,0,67,23,28,10,2,13,2,22,2,5,0,7,0,48,24,72,0,42,31,58,1,5,1,0,21,0,110,0,66,0,19,5,0,158,7,0,0,344,15,24,0,13,36,52,1,1,20,14,11,6,29,11,0,52,0,0,94,125,0,0,15,0,0,0,8,0,0,0,71,200,0,0,12,17,23,0,192,5,0,19,89,2
disclosure,3953,25,74,7,6,5,15,31,6,19,4,40,7,64,7,212,46,42,25,27,99,95,47,9,16,2,42,1,302,5,20,5,109,22,1,32,45,2,0,28,20,49,2,146,223,4,1,3,126,40,79,3,1,4,0,25,28,0,168,95,2,3,34,1,0,28,71,2,0,0,58,10,3,3,3,43,179,3,32,12,0,106,771,28
diplomatic,10902,513,98,119,7,37,90,156,15,151,36,65,19,230,3,824,177,172,194,169,102,109,189,6,172,0,56,11,435,21,189,21,664,72,12,79,71,57,17,137,152,23,0,158,517,82,0,18,319,122,274,20,17,41,10,51,4,0,366,89,18,0,338,4,4,11,88,0,2,4,64,176,2,2,7,124,258,0,110,19,6,217,1628,62
